year,source,hsanum,hsacity,hsastate,agesex_grp,pop
2010,Census+HUD,20030,Skowhegan,ME,F_55_59,1195.95352
2010,Census+HUD,20031,Waterville,ME,F_55_59,2884.1460100000004
2010,Census+HUD,20033,York,ME,F_55_59,1666.2806
2010,Census+HUD,20035,Greenville,ME,F_55_59,92.98743
2010,Census+HUD,30006,Dover,NH,F_55_59,518.1479
2010,Census+HUD,20001,Augusta,ME,F_60_64,2498.57548
2010,Census+HUD,20002,Bangor,ME,F_60_64,4220.5462
2010,Census+HUD,20003,Bar Harbor,ME,F_60_64,447.5709
2010,Census+HUD,20005,Belfast,ME,F_60_64,901.7761199999999
2010,Census+HUD,20006,Biddeford,ME,F_60_64,2679.56325
2010,Census+HUD,20007,Blue Hill,ME,F_60_64,497.7855
2010,Census+HUD,20008,Boothbay Harbor,ME,F_60_64,291.43863
2010,Census+HUD,20009,Bridgton,ME,F_60_64,632.7242
2010,Census+HUD,20010,Brunswick,ME,F_60_64,2551.81394
2010,Census+HUD,20011,Calais,ME,F_60_64,466.38424000000003
2010,Census+HUD,20012,Caribou,ME,F_60_64,676.6592
2010,Census+HUD,20013,Damariscotta,ME,F_60_64,507.40767
